Entity Name,Classification,Confidence,Split Entities,Explanation
"InterContinental Hotel, Melbourne",SINGLE,HIGH,,This refers to a specific InterContinental hotel location in Melbourne.
"Treasury Hotel, Brisbane",SINGLE,HIGH,,This refers to a specific hotel in Brisbane.
"InterContinental Hotel, Perth",SINGLE,HIGH,,This refers to a specific InterContinental hotel location in Perth.
"Voyages Indigenous Tourism Australia, Ayres Rock",SINGLE,HIGH,,This likely refers to Voyages Indigenous Tourism Australia's operations at Ayres Rock (Uluru).
"Mr Kaisheng YANG, President of ICBC",SINGLE,HIGH,,"This is a single individual, Mr. Kaisheng Yang, identified by his position at ICBC."
"Mr Xiongmo Huang, Chairman of Yuhu Group of companies",SINGLE,HIGH,,"This refers to a single person, Mr. Xiongmo Huang, in his role as Chairman."
"Beechworth Honey, Corowa, NSW",SINGLE,HIGH,,"This refers to Beechworth Honey, a company located in Corowa, NSW."
"Kelvin Crombie of Mundaring, Western Australia",SINGLE,HIGH,,"This refers to a single person, Kelvin Crombie, with his location specified."
"City of Swan, Western Australia",SINGLE,HIGH,,This is a single local government area.
"Lindsay Soutar, National Co-ordinator for 100% Renewable",SINGLE,HIGH,,This refers to a single person and their role.
"Thich Quang BA, Senior Monk",SINGLE,HIGH,,This is a single person.
"Maria Vandamme, Melba Foundation",SINGLE,HIGH,,This is likely Ms. Vandamme associated with or working for the Melba Foundation.
"Education Department, WA",SINGLE,HIGH,,This refers to the Western Australian Education Department.
"His Excellency Mr Shinzo Abe, Former Prime Minister of Japan",SINGLE,HIGH,,This is a single individual with multiple titles/descriptions.
"The Rt Hon Boris Johnson, Prime Minister of the United Kingdom",SINGLE,HIGH,,This is a single individual with multiple titles/descriptions.
"Dr Mario Draghi, Prime Minister of Italy",SINGLE,HIGH,,This is a single individual with multiple titles/descriptions.
"Chatsworth, Qld",SINGLE,HIGH,,Chatsworth is a location in Queensland.  'Qld' is an abbreviation.
"Ministry of Foreign Affairs, Republic of China (Taiwan)",SINGLE,HIGH,,"This is a single entity, the Ministry of Foreign Affairs of the Republic of China (Taiwan)."
"O'Connor, ACT",SINGLE,HIGH,,O'Connor is a suburb in the Australian Capital Territory (ACT).
"Caringbah, NSW",SINGLE,HIGH,,Caringbah is a suburb in New South Wales (NSW).
"Marmion, Western Australia",SINGLE,HIGH,,Marmion is a suburb in Western Australia.
"Geraldton, Western Australia",SINGLE,HIGH,,Geraldton is a city in Western Australia.
"Dunsborough, Western Australia",SINGLE,HIGH,,Dunsborough is a town in Western Australia.
"Ord Valley Muster, Kununurra, WA",SINGLE,HIGH,,"The Ord Valley Muster is an event held in Kununurra, Western Australia (WA)."
"190 Yungurra Drive, Dunsborough, Western Australia",SINGLE,HIGH,,This is a single address.
"Maylands, Adelaide",SINGLE,HIGH,,Maylands is a suburb of Adelaide.
"Director, Olympic Winter Institute of Australia",SINGLE,HIGH,,This describes a single role within a single organization.
"Director, Sport Australia Hall of Fame",SINGLE,HIGH,,This describes a single role within a single organization.
"Buchanan, NSW",SINGLE,HIGH,,Buchanan is a location in NSW.
"Kurri Kurri, NSW",SINGLE,HIGH,,Kurri Kurri is a town in NSW.
"Cathedral Church of St Saviour, Goulburn",SINGLE,HIGH,,"This is a single entity, a church in Goulburn."
"Hamilton, Victoria",SINGLE,HIGH,,Hamilton is a city in Victoria.
"Northcote, Victoria",SINGLE,HIGH,,"Northcote is a suburb of Melbourne, Victoria."
"Brunswick, Victoria",SINGLE,HIGH,,"Brunswick is a suburb of Melbourne, Victoria."
"Chermside, QLD",SINGLE,HIGH,,Chermside is a suburb in Queensland.
"Teneriffe, QLD",SINGLE,HIGH,,Teneriffe is a suburb in Queensland.
"Ensemble Theatre, Kirribilli",SINGLE,HIGH,,The Ensemble Theatre is located in Kirribilli.
"Porepunkah, VIC",SINGLE,HIGH,,Porepunkah is a town in Victoria.
"Beaumaris, TAS",SINGLE,HIGH,,Beaumaris is a suburb in Tasmania.
"Canterbury, VIC",SINGLE,HIGH,,"Canterbury is a suburb of Melbourne, Victoria."
"North Melbourne, VIC",SINGLE,HIGH,,"North Melbourne is a suburb of Melbourne, Victoria."
"North Carlton, VIC",SINGLE,HIGH,,"North Carlton is a suburb of Melbourne, Victoria."
"BMJ Leader journal, UK",SINGLE,HIGH,,The BMJ Leader journal is published in the UK.  This is a single publication.
"Liberal Party of Australia, NSW Division",SINGLE,HIGH,,The NSW Division is a subunit of the Liberal Party of Australia; it's not a separate entity.
"Incheon Free Economic Zone, Korea",SINGLE,HIGH,,Incheon Free Economic Zone is a geographical/economic region within Korea; it's not a separate entity.
"Incheon International Airport, Korea",SINGLE,HIGH,,Incheon International Airport is located in Korea; it's not a separate entity.
"House, Yarralumla, Australian Capital Territory",SINGLE,HIGH,,Describes a single house's location.
"Vacant Commercial Land, Currambine",SINGLE,HIGH,,Describes a single piece of land and its location.
"Two Houses, Leederville",SINGLE,HIGH,,Refers to two houses as a single asset at one location.
"Factory/Warehouse in Belmont, WA",SINGLE,HIGH,,Describes a single property with two uses in one location.
"Tourism Council CEO, Evan Hall",SINGLE,HIGH,,Refers to one person and their title within a single organization.
"Michael Crouch, Founder, ZIP Industries (AUST) PTY LTD",SINGLE,HIGH,,Describes one person's role in a single company.
"Paul Perreault, CEO, CSL Limited",SINGLE,HIGH,,Describes one person's role in a single company.
"Luke Mckenzie, CEO, Metcash",SINGLE,HIGH,,Describes one person's role in a single company.
"Nazarudin Jaafar, Consul General of Malaysia",SINGLE,HIGH,,Describes one person's role within a single government.
"Elliott Charng, Representative of Taiwan",SINGLE,HIGH,,Describes one person's role in representing a single government.
"Her Excellency Mrs Martha Mavrommati, High Commissioner of the Republic of Cyprus",SINGLE,HIGH,,Describes one person's role in representing a single government.
"Kingston, Canberra",SINGLE,HIGH,,Kingston is a suburb of Canberra.
"500 Club, Liberal Party",SINGLE,HIGH,,The 500 Club is likely a subunit or fundraising group within the Liberal Party.
"Bindaree Beef, Inverell",SINGLE,HIGH,,Bindaree Beef is a business likely located in Inverell.
"Perth, WA",SINGLE,HIGH,,Perth is a city in WA.
Chamber of Minerals and Energy,SINGLE,HIGH,,"This is a single organization with a compound name, a common structure for Australian industry bodies."
Racing and Wagering WA (RWWA),SINGLE,HIGH,,This is the official name of a single Western Australian government-owned organization.
National Mining and Related Industries,SINGLE,HIGH,,Likely a single organization with a descriptive compound name.
Thornlie Footbal and Sports Club,SINGLE,HIGH,,A single sports club with a compound name.
Ballarat and Grampians Community Legal Services Board,SINGLE,HIGH,,Likely a single organization serving multiple regions.
Bravus Mining and Resources,SINGLE,HIGH,,This appears to be the name of a single mining company.
Australia Israel and Jewish Affairs Council,SINGLE,HIGH,,This seems to be the name of a single organization.
Dural and District Business Chamber of Commerce,SINGLE,HIGH,,This is a single business chamber with a compound name.
Welfare Rights and Advocacy Service,SINGLE,HIGH,,This appears to be a single organization.
Veolia Australia and New Zealand,SINGLE,HIGH,,This is likely the Australian and New Zealand branch of a multinational company.
OZWAC - Australian Women's and Children Research Foundation,SINGLE,HIGH,,This is the name of a single foundation.
Konrad Adenauer Stiftung Regional Programme - Australia and the Pacific,SINGLE,HIGH,,This is a single program with a geographical scope.
"Flinders University College of Government, Business and Law",SINGLE,HIGH,,This refers to a single college within Flinders University.
Mongolian Minister for Education and Science,SINGLE,HIGH,,This is a single ministerial portfolio.
Community and Public Sector Union (CPSU),SINGLE,HIGH,,This is the full name of a single union.
Taipei Economic and Cultural Office of Australia,SINGLE,HIGH,,This is a single diplomatic office.
Astra Subscription Television and Radio Association,SINGLE,HIGH,,Likely a single industry association.
Southern Youth and Family Services Warilla Housing Project,SINGLE,HIGH,,This appears to be a single organization.
ASU Victorian and Tasmanian Authorities and Services Branch,SINGLE,HIGH,,This is a single branch of a larger union.
Mining and Energy Union,SINGLE,HIGH,,This is a single union.
Mining and Energy Union Northern District,SINGLE,HIGH,,This is a single district of a larger union.
L and J family trust,SINGLE,HIGH,,This is a single family trust.
Edith Cowan University School of Business and Law Advisory Board,SINGLE,HIGH,,This is a single advisory board.
Wyndham Track and Field,SINGLE,HIGH,,Likely a single sports club or organization.
"Office of Southeast Asia, Department of Foreign Affairs and Trade",SINGLE,HIGH,,This is a single government office within a department.
"Office for Sport, Department of Health and Aged Care",SINGLE,HIGH,,A single government office within a department.
Italian Chamber of Commerce and Industry,SINGLE,HIGH,,A single organization with a compound name.
French Australia Chamber of Commerce and Industry,SINGLE,HIGH,,A single organization.
Maitland and District Cricket Umpire' and Scorers' Association Incorporated,SINGLE,HIGH,,This is the full name of a single organization.
"Australian Institute of Political Science, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Australian Institute of Political Science."
"Eastwood Club, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Eastwood Club."
"Law Society of NSW, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Law Society of NSW."
"Sydney Institute, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Sydney Institute."
"Anglo-Australasian Lawyer's Society, Australia Branch",SINGLE,HIGH,,This is a single organization with a branch specified.
"Australian Lebanese Heart Foundation Ltd, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Australian Lebanese Heart Foundation Ltd."
"Hills Musical Society, The",SINGLE,HIGH,,"""The"" is part of the formal name of the Hills Musical Society."
"Liberal Party of Australia, New South Wales Division",SINGLE,HIGH,,This is a single organization with a specified division.
"Vietnam Veterans Federation, SA Branch",SINGLE,HIGH,,This is a single organization with a specified branch.
Griff-Dev Investments Pty Ltd as Trustee of the P&M Fletcher Superannuation Fund,SINGLE,HIGH,,This is a single entity: a company acting as trustee for a superannuation fund.  The '&' is part of the fund's name.
Griff-Dev investments Pty Ltd as Trustee of the P&M Fletcher Superannuation Fund,SINGLE,HIGH,,This is a single entity: a company acting as trustee for a superannuation fund.  The '&' is part of the fund's name.
Australia / Israel & Jewish Affairs Council,SINGLE,HIGH,,"This appears to be a single organization with a compound name, despite the slash. The context strongly supports this."
Griff Dev Investments Pty Ltd atf P&M Fletcher Superannuation Fund,SINGLE,HIGH,,"This is a single entity, a company acting as trustee for a superannuation fund. 'atf' signifies 'as trustee for'."
Griff-Dev Investments Pty Ltd ATF P&M Fletcher Superannuation Fund,SINGLE,HIGH,,"This is a single entity, a company acting as trustee for a superannuation fund. 'ATF' signifies 'as trustee for'."
Joe Hockey & M. Babbage (t/a Platypus Creek Farm),SINGLE,HIGH,,"This is a single business (Platypus Creek Farm) operated by two individuals.  '&' indicates a partnership, not separate entities."
Joe Hockey & M Babbage (t/a Platypus Creek Farm),SINGLE,HIGH,,"This is a single business (Platypus Creek Farm) operated by two individuals.  '&' indicates a partnership, not separate entities."
Joe Hockey & M Babbage t/a Platypus Creek Farm,SINGLE,HIGH,,"This is a single business (Platypus Creek Farm) operated by two individuals.  '&' indicates a partnership, not separate entities."
Restaurant & Catering (R&C),SINGLE,HIGH,,This is a single organization with a shortened version of its name in parentheses.
P&M Fletcher Superannuation Fund,SINGLE,HIGH,,This is the name of a single superannuation fund. The '&' is part of the name.
Australia/Israel & Jewish Affairs Council,SINGLE,HIGH,,"This appears to be a single organization, even with the slash. Context strongly supports this interpretation."
The Australia/Israel & Jewish Affairs Council,SINGLE,HIGH,,This is a single organization. The addition of 'The' does not change its nature.
